group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
AsyncLock-Mutex,,lock-10,,,729817.0,ns,14924
AsyncLock-Mutex,,lock-10,,,1113991.0,ns,29848
AsyncLock-Mutex,,lock-10,,,2186882.0,ns,44772
AsyncLock-Mutex,,lock-10,,,2640847.0,ns,59696
AsyncLock-Mutex,,lock-10,,,2965300.0,ns,74620
AsyncLock-Mutex,,lock-10,,,3478114.0,ns,89544
AsyncLock-Mutex,,lock-10,,,3591467.0,ns,104468
AsyncLock-Mutex,,lock-10,,,4679987.0,ns,119392
AsyncLock-Mutex,,lock-10,,,5076521.0,ns,134316
AsyncLock-Mutex,,lock-10,,,5376514.0,ns,149240
AsyncLock-Mutex,,lock-10,,,7452255.0,ns,164164
AsyncLock-Mutex,,lock-10,,,6808328.0,ns,179088
AsyncLock-Mutex,,lock-10,,,6962670.0,ns,194012
AsyncLock-Mutex,,lock-10,,,7862189.0,ns,208936
AsyncLock-Mutex,,lock-10,,,13780678.0,ns,223860
AsyncLock-Mutex,,lock-10,,,11230433.0,ns,238784
AsyncLock-Mutex,,lock-10,,,9039111.0,ns,253708
AsyncLock-Mutex,,lock-10,,,10402974.0,ns,268632
AsyncLock-Mutex,,lock-10,,,10529936.0,ns,283556
AsyncLock-Mutex,,lock-10,,,11011521.0,ns,298480
AsyncLock-Mutex,,lock-10,,,11978700.0,ns,313404
AsyncLock-Mutex,,lock-10,,,12368045.0,ns,328328
AsyncLock-Mutex,,lock-10,,,13575656.0,ns,343252
AsyncLock-Mutex,,lock-10,,,16613988.0,ns,358176
AsyncLock-Mutex,,lock-10,,,18511766.0,ns,373100
AsyncLock-Mutex,,lock-10,,,14515526.0,ns,388024
AsyncLock-Mutex,,lock-10,,,14957690.0,ns,402948
AsyncLock-Mutex,,lock-10,,,16110283.0,ns,417872
AsyncLock-Mutex,,lock-10,,,54630359.0,ns,432796
AsyncLock-Mutex,,lock-10,,,15806029.0,ns,447720
AsyncLock-Mutex,,lock-10,,,17422796.0,ns,462644
AsyncLock-Mutex,,lock-10,,,17762499.0,ns,477568
AsyncLock-Mutex,,lock-10,,,17183993.0,ns,492492
AsyncLock-Mutex,,lock-10,,,18380954.0,ns,507416
AsyncLock-Mutex,,lock-10,,,22973122.0,ns,522340
AsyncLock-Mutex,,lock-10,,,25112123.0,ns,537264
AsyncLock-Mutex,,lock-10,,,22019432.0,ns,552188
AsyncLock-Mutex,,lock-10,,,21108972.0,ns,567112
AsyncLock-Mutex,,lock-10,,,22203454.0,ns,582036
AsyncLock-Mutex,,lock-10,,,20773918.0,ns,596960
AsyncLock-Mutex,,lock-10,,,21591388.0,ns,611884
AsyncLock-Mutex,,lock-10,,,22001081.0,ns,626808
AsyncLock-Mutex,,lock-10,,,23583908.0,ns,641732
AsyncLock-Mutex,,lock-10,,,23708588.0,ns,656656
AsyncLock-Mutex,,lock-10,,,25288886.0,ns,671580
AsyncLock-Mutex,,lock-10,,,24179663.0,ns,686504
AsyncLock-Mutex,,lock-10,,,31404956.0,ns,701428
AsyncLock-Mutex,,lock-10,,,44915872.0,ns,716352
AsyncLock-Mutex,,lock-10,,,32388047.0,ns,731276
AsyncLock-Mutex,,lock-10,,,38036912.0,ns,746200
AsyncLock-Mutex,,lock-10,,,34380816.0,ns,761124
AsyncLock-Mutex,,lock-10,,,29131534.0,ns,776048
AsyncLock-Mutex,,lock-10,,,29662708.0,ns,790972
AsyncLock-Mutex,,lock-10,,,31631879.0,ns,805896
AsyncLock-Mutex,,lock-10,,,30840360.0,ns,820820
AsyncLock-Mutex,,lock-10,,,34461436.0,ns,835744
AsyncLock-Mutex,,lock-10,,,31029463.0,ns,850668
AsyncLock-Mutex,,lock-10,,,30164874.0,ns,865592
AsyncLock-Mutex,,lock-10,,,51057084.0,ns,880516
AsyncLock-Mutex,,lock-10,,,129581584.0,ns,895440
AsyncLock-Mutex,,lock-10,,,70903233.0,ns,910364
AsyncLock-Mutex,,lock-10,,,48746050.0,ns,925288
AsyncLock-Mutex,,lock-10,,,64883184.0,ns,940212
AsyncLock-Mutex,,lock-10,,,52926472.0,ns,955136
AsyncLock-Mutex,,lock-10,,,56650231.0,ns,970060
AsyncLock-Mutex,,lock-10,,,64633839.0,ns,984984
AsyncLock-Mutex,,lock-10,,,95864736.0,ns,999908
AsyncLock-Mutex,,lock-10,,,57406658.0,ns,1014832
AsyncLock-Mutex,,lock-10,,,54176655.0,ns,1029756
AsyncLock-Mutex,,lock-10,,,61570349.0,ns,1044680
AsyncLock-Mutex,,lock-10,,,71488511.0,ns,1059604
AsyncLock-Mutex,,lock-10,,,60874282.0,ns,1074528
AsyncLock-Mutex,,lock-10,,,57898794.0,ns,1089452
AsyncLock-Mutex,,lock-10,,,72697671.0,ns,1104376
AsyncLock-Mutex,,lock-10,,,93388389.0,ns,1119300
AsyncLock-Mutex,,lock-10,,,60792291.0,ns,1134224
AsyncLock-Mutex,,lock-10,,,63779052.0,ns,1149148
AsyncLock-Mutex,,lock-10,,,62743992.0,ns,1164072
AsyncLock-Mutex,,lock-10,,,71259147.0,ns,1178996
AsyncLock-Mutex,,lock-10,,,58186926.0,ns,1193920
