group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
AsyncLock-Mutex,,lock-33,,,1751538.0,ns,8858
AsyncLock-Mutex,,lock-33,,,3940460.0,ns,17716
AsyncLock-Mutex,,lock-33,,,5721767.0,ns,26574
AsyncLock-Mutex,,lock-33,,,4484226.0,ns,35432
AsyncLock-Mutex,,lock-33,,,6336253.0,ns,44290
AsyncLock-Mutex,,lock-33,,,6825919.0,ns,53148
AsyncLock-Mutex,,lock-33,,,8301343.0,ns,62006
AsyncLock-Mutex,,lock-33,,,8210374.0,ns,70864
AsyncLock-Mutex,,lock-33,,,12496225.0,ns,79722
AsyncLock-Mutex,,lock-33,,,18425786.0,ns,88580
AsyncLock-Mutex,,lock-33,,,19290053.0,ns,97438
AsyncLock-Mutex,,lock-33,,,11913960.0,ns,106296
AsyncLock-Mutex,,lock-33,,,21942022.0,ns,115154
AsyncLock-Mutex,,lock-33,,,13289873.0,ns,124012
AsyncLock-Mutex,,lock-33,,,24132953.0,ns,132870
AsyncLock-Mutex,,lock-33,,,17152393.0,ns,141728
AsyncLock-Mutex,,lock-33,,,16448565.0,ns,150586
AsyncLock-Mutex,,lock-33,,,16626857.0,ns,159444
AsyncLock-Mutex,,lock-33,,,29448666.0,ns,168302
AsyncLock-Mutex,,lock-33,,,27799999.0,ns,177160
AsyncLock-Mutex,,lock-33,,,21417165.0,ns,186018
AsyncLock-Mutex,,lock-33,,,29255484.0,ns,194876
AsyncLock-Mutex,,lock-33,,,25332197.0,ns,203734
AsyncLock-Mutex,,lock-33,,,24854699.0,ns,212592
AsyncLock-Mutex,,lock-33,,,37442376.0,ns,221450
AsyncLock-Mutex,,lock-33,,,36662039.0,ns,230308
AsyncLock-Mutex,,lock-33,,,26425416.0,ns,239166
AsyncLock-Mutex,,lock-33,,,32348376.0,ns,248024
AsyncLock-Mutex,,lock-33,,,41643409.0,ns,256882
AsyncLock-Mutex,,lock-33,,,47006462.0,ns,265740
AsyncLock-Mutex,,lock-33,,,24642699.0,ns,274598
AsyncLock-Mutex,,lock-33,,,23547786.0,ns,283456
AsyncLock-Mutex,,lock-33,,,42329036.0,ns,292314
AsyncLock-Mutex,,lock-33,,,79721712.0,ns,301172
AsyncLock-Mutex,,lock-33,,,34806599.0,ns,310030
AsyncLock-Mutex,,lock-33,,,48737760.0,ns,318888
AsyncLock-Mutex,,lock-33,,,51211816.0,ns,327746
AsyncLock-Mutex,,lock-33,,,36491866.0,ns,336604
AsyncLock-Mutex,,lock-33,,,56244256.0,ns,345462
AsyncLock-Mutex,,lock-33,,,61122685.0,ns,354320
AsyncLock-Mutex,,lock-33,,,63220387.0,ns,363178
AsyncLock-Mutex,,lock-33,,,65147995.0,ns,372036
AsyncLock-Mutex,,lock-33,,,39127333.0,ns,380894
AsyncLock-Mutex,,lock-33,,,50287197.0,ns,389752
AsyncLock-Mutex,,lock-33,,,42398057.0,ns,398610
AsyncLock-Mutex,,lock-33,,,41275715.0,ns,407468
