group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
AsyncLock-Mutex,,try_lock-04,,,1063721.0,ns,28249
AsyncLock-Mutex,,try_lock-04,,,1914969.0,ns,56498
AsyncLock-Mutex,,try_lock-04,,,3368643.0,ns,84747
AsyncLock-Mutex,,try_lock-04,,,3873549.0,ns,112996
AsyncLock-Mutex,,try_lock-04,,,5925770.0,ns,141245
AsyncLock-Mutex,,try_lock-04,,,8592937.0,ns,169494
AsyncLock-Mutex,,try_lock-04,,,7311982.0,ns,197743
AsyncLock-Mutex,,try_lock-04,,,7111312.0,ns,225992
AsyncLock-Mutex,,try_lock-04,,,9196142.0,ns,254241
AsyncLock-Mutex,,try_lock-04,,,9108063.0,ns,282490
AsyncLock-Mutex,,try_lock-04,,,9390004.0,ns,310739
AsyncLock-Mutex,,try_lock-04,,,14880570.0,ns,338988
AsyncLock-Mutex,,try_lock-04,,,11051461.0,ns,367237
AsyncLock-Mutex,,try_lock-04,,,11481056.0,ns,395486
AsyncLock-Mutex,,try_lock-04,,,17724109.0,ns,423735
AsyncLock-Mutex,,try_lock-04,,,14792999.0,ns,451984
AsyncLock-Mutex,,try_lock-04,,,20474537.0,ns,480233
AsyncLock-Mutex,,try_lock-04,,,22919210.0,ns,508482
AsyncLock-Mutex,,try_lock-04,,,17778619.0,ns,536731
AsyncLock-Mutex,,try_lock-04,,,16550027.0,ns,564980
AsyncLock-Mutex,,try_lock-04,,,17865041.0,ns,593229
AsyncLock-Mutex,,try_lock-04,,,20984181.0,ns,621478
AsyncLock-Mutex,,try_lock-04,,,30148484.0,ns,649727
AsyncLock-Mutex,,try_lock-04,,,31644240.0,ns,677976
AsyncLock-Mutex,,try_lock-04,,,23155703.0,ns,706225
AsyncLock-Mutex,,try_lock-04,,,31076563.0,ns,734474
AsyncLock-Mutex,,try_lock-04,,,27766550.0,ns,762723
AsyncLock-Mutex,,try_lock-04,,,30851920.0,ns,790972
AsyncLock-Mutex,,try_lock-04,,,35804261.0,ns,819221
AsyncLock-Mutex,,try_lock-04,,,35039213.0,ns,847470
AsyncLock-Mutex,,try_lock-04,,,28643778.0,ns,875719
AsyncLock-Mutex,,try_lock-04,,,33472337.0,ns,903968
AsyncLock-Mutex,,try_lock-04,,,38752551.0,ns,932217
AsyncLock-Mutex,,try_lock-04,,,34263335.0,ns,960466
AsyncLock-Mutex,,try_lock-04,,,33637799.0,ns,988715
AsyncLock-Mutex,,try_lock-04,,,39130045.0,ns,1016964
AsyncLock-Mutex,,try_lock-04,,,33615059.0,ns,1045213
AsyncLock-Mutex,,try_lock-04,,,45307536.0,ns,1073462
AsyncLock-Mutex,,try_lock-04,,,41047884.0,ns,1101711
AsyncLock-Mutex,,try_lock-04,,,29449547.0,ns,1129960
AsyncLock-Mutex,,try_lock-04,,,30663770.0,ns,1158209
AsyncLock-Mutex,,try_lock-04,,,30520977.0,ns,1186458
AsyncLock-Mutex,,try_lock-04,,,38332296.0,ns,1214707
AsyncLock-Mutex,,try_lock-04,,,33421817.0,ns,1242956
AsyncLock-Mutex,,try_lock-04,,,34055783.0,ns,1271205
AsyncLock-Mutex,,try_lock-04,,,33771051.0,ns,1299454
AsyncLock-Mutex,,try_lock-04,,,34724810.0,ns,1327703
AsyncLock-Mutex,,try_lock-04,,,34923302.0,ns,1355952
