group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
AsyncLock-Mutex,,try_lock-50,,,979570.0,ns,6540
AsyncLock-Mutex,,try_lock-50,,,2343254.0,ns,13080
AsyncLock-Mutex,,try_lock-50,,,4436144.0,ns,19620
AsyncLock-Mutex,,try_lock-50,,,4508846.0,ns,26160
AsyncLock-Mutex,,try_lock-50,,,7639757.0,ns,32700
AsyncLock-Mutex,,try_lock-50,,,11286544.0,ns,39240
AsyncLock-Mutex,,try_lock-50,,,10150552.0,ns,45780
AsyncLock-Mutex,,try_lock-50,,,10805749.0,ns,52320
AsyncLock-Mutex,,try_lock-50,,,13218053.0,ns,58860
AsyncLock-Mutex,,try_lock-50,,,5764049.0,ns,65400
AsyncLock-Mutex,,try_lock-50,,,6071200.0,ns,71940
AsyncLock-Mutex,,try_lock-50,,,8671698.0,ns,78480
AsyncLock-Mutex,,try_lock-50,,,27319585.0,ns,85020
AsyncLock-Mutex,,try_lock-50,,,15765329.0,ns,91560
AsyncLock-Mutex,,try_lock-50,,,12224533.0,ns,98100
AsyncLock-Mutex,,try_lock-50,,,17404295.0,ns,104640
AsyncLock-Mutex,,try_lock-50,,,17873670.0,ns,111180
AsyncLock-Mutex,,try_lock-50,,,16311725.0,ns,117720
AsyncLock-Mutex,,try_lock-50,,,15218663.0,ns,124260
AsyncLock-Mutex,,try_lock-50,,,15006561.0,ns,130800
AsyncLock-Mutex,,try_lock-50,,,16012381.0,ns,137340
AsyncLock-Mutex,,try_lock-50,,,26300965.0,ns,143880
AsyncLock-Mutex,,try_lock-50,,,17746339.0,ns,150420
AsyncLock-Mutex,,try_lock-50,,,31211775.0,ns,156960
AsyncLock-Mutex,,try_lock-50,,,17923160.0,ns,163500
AsyncLock-Mutex,,try_lock-50,,,36593188.0,ns,170040
AsyncLock-Mutex,,try_lock-50,,,20144103.0,ns,176580
AsyncLock-Mutex,,try_lock-50,,,18743339.0,ns,183120
AsyncLock-Mutex,,try_lock-50,,,20578108.0,ns,189660
AsyncLock-Mutex,,try_lock-50,,,31434167.0,ns,196200
AsyncLock-Mutex,,try_lock-50,,,26008141.0,ns,202740
AsyncLock-Mutex,,try_lock-50,,,28073513.0,ns,209280
AsyncLock-Mutex,,try_lock-50,,,37875321.0,ns,215820
AsyncLock-Mutex,,try_lock-50,,,29926761.0,ns,222360
AsyncLock-Mutex,,try_lock-50,,,27861742.0,ns,228900
AsyncLock-Mutex,,try_lock-50,,,33709989.0,ns,235440
AsyncLock-Mutex,,try_lock-50,,,29979402.0,ns,241980
AsyncLock-Mutex,,try_lock-50,,,50578130.0,ns,248520
AsyncLock-Mutex,,try_lock-50,,,37736539.0,ns,255060
AsyncLock-Mutex,,try_lock-50,,,37424287.0,ns,261600
AsyncLock-Mutex,,try_lock-50,,,37597599.0,ns,268140
AsyncLock-Mutex,,try_lock-50,,,49987993.0,ns,274680
AsyncLock-Mutex,,try_lock-50,,,42888151.0,ns,281220
AsyncLock-Mutex,,try_lock-50,,,39243576.0,ns,287760
AsyncLock-Mutex,,try_lock-50,,,38248465.0,ns,294300
AsyncLock-Mutex,,try_lock-50,,,55665281.0,ns,300840
AsyncLock-Mutex,,try_lock-50,,,43136174.0,ns,307380
AsyncLock-Mutex,,try_lock-50,,,46579180.0,ns,313920
AsyncLock-Mutex,,try_lock-50,,,67828012.0,ns,320460
AsyncLock-Mutex,,try_lock-50,,,37830131.0,ns,327000
AsyncLock-Mutex,,try_lock-50,,,52578990.0,ns,333540
AsyncLock-Mutex,,try_lock-50,,,55286148.0,ns,340080
AsyncLock-Mutex,,try_lock-50,,,68116185.0,ns,346620
AsyncLock-Mutex,,try_lock-50,,,52250906.0,ns,353160
AsyncLock-Mutex,,try_lock-50,,,58954334.0,ns,359700
AsyncLock-Mutex,,try_lock-50,,,43761821.0,ns,366240
AsyncLock-Mutex,,try_lock-50,,,17931571.0,ns,372780
AsyncLock-Mutex,,try_lock-50,,,18867530.0,ns,379320
AsyncLock-Mutex,,try_lock-50,,,23836819.0,ns,385860
AsyncLock-Mutex,,try_lock-50,,,19778230.0,ns,392400
AsyncLock-Mutex,,try_lock-50,,,51413018.0,ns,398940
AsyncLock-Mutex,,try_lock-50,,,46140085.0,ns,405480
AsyncLock-Mutex,,try_lock-50,,,25244643.0,ns,412020
AsyncLock-Mutex,,try_lock-50,,,18249594.0,ns,418560
AsyncLock-Mutex,,try_lock-50,,,23745570.0,ns,425100
AsyncLock-Mutex,,try_lock-50,,,22541038.0,ns,431640
AsyncLock-Mutex,,try_lock-50,,,24287664.0,ns,438180
AsyncLock-Mutex,,try_lock-50,,,19209134.0,ns,444720
AsyncLock-Mutex,,try_lock-50,,,17787609.0,ns,451260
AsyncLock-Mutex,,try_lock-50,,,24961571.0,ns,457800
AsyncLock-Mutex,,try_lock-50,,,26528228.0,ns,464340
AsyncLock-Mutex,,try_lock-50,,,28253884.0,ns,470880
AsyncLock-Mutex,,try_lock-50,,,21492937.0,ns,477420
AsyncLock-Mutex,,try_lock-50,,,20181722.0,ns,483960
AsyncLock-Mutex,,try_lock-50,,,35291376.0,ns,490500
AsyncLock-Mutex,,try_lock-50,,,35819031.0,ns,497040
AsyncLock-Mutex,,try_lock-50,,,45340036.0,ns,503580
AsyncLock-Mutex,,try_lock-50,,,117956139.0,ns,510120
AsyncLock-Mutex,,try_lock-50,,,84688473.0,ns,516660
AsyncLock-Mutex,,try_lock-50,,,101407942.0,ns,523200
AsyncLock-Mutex,,try_lock-50,,,102961156.0,ns,529740
AsyncLock-Mutex,,try_lock-50,,,90119649.0,ns,536280
AsyncLock-Mutex,,try_lock-50,,,86819565.0,ns,542820
AsyncLock-Mutex,,try_lock-50,,,89962676.0,ns,549360
AsyncLock-Mutex,,try_lock-50,,,101851456.0,ns,555900
AsyncLock-Mutex,,try_lock-50,,,72773463.0,ns,562440
AsyncLock-Mutex,,try_lock-50,,,91672234.0,ns,568980
AsyncLock-Mutex,,try_lock-50,,,88803915.0,ns,575520
AsyncLock-Mutex,,try_lock-50,,,113076089.0,ns,582060
AsyncLock-Mutex,,try_lock-50,,,104564903.0,ns,588600
AsyncLock-Mutex,,try_lock-50,,,73595822.0,ns,595140
AsyncLock-Mutex,,try_lock-50,,,102124379.0,ns,601680
AsyncLock-Mutex,,try_lock-50,,,85759143.0,ns,608220
AsyncLock-Mutex,,try_lock-50,,,85764044.0,ns,614760
AsyncLock-Mutex,,try_lock-50,,,93113889.0,ns,621300
AsyncLock-Mutex,,try_lock-50,,,90173848.0,ns,627840
AsyncLock-Mutex,,try_lock-50,,,69954955.0,ns,634380
AsyncLock-Mutex,,try_lock-50,,,31942532.0,ns,640920
