group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
AsyncLock-RwLock,,lock-04,,,1012261.0,ns,16627
AsyncLock-RwLock,,lock-04,,,2029700.0,ns,33254
AsyncLock-RwLock,,lock-04,,,2968721.0,ns,49881
AsyncLock-RwLock,,lock-04,,,3649506.0,ns,66508
AsyncLock-RwLock,,lock-04,,,4639246.0,ns,83135
AsyncLock-RwLock,,lock-04,,,6283054.0,ns,99762
AsyncLock-RwLock,,lock-04,,,6297454.0,ns,116389
AsyncLock-RwLock,,lock-04,,,7907679.0,ns,133016
AsyncLock-RwLock,,lock-04,,,8314725.0,ns,149643
AsyncLock-RwLock,,lock-04,,,9744367.0,ns,166270
AsyncLock-RwLock,,lock-04,,,10079573.0,ns,182897
AsyncLock-RwLock,,lock-04,,,10907679.0,ns,199524
AsyncLock-RwLock,,lock-04,,,12726519.0,ns,216151
AsyncLock-RwLock,,lock-04,,,12902241.0,ns,232778
AsyncLock-RwLock,,lock-04,,,14357574.0,ns,249405
AsyncLock-RwLock,,lock-04,,,14885630.0,ns,266032
AsyncLock-RwLock,,lock-04,,,17486627.0,ns,282659
AsyncLock-RwLock,,lock-04,,,16076893.0,ns,299286
AsyncLock-RwLock,,lock-04,,,17281904.0,ns,315913
AsyncLock-RwLock,,lock-04,,,18858400.0,ns,332540
AsyncLock-RwLock,,lock-04,,,19775990.0,ns,349167
AsyncLock-RwLock,,lock-04,,,19858930.0,ns,365794
AsyncLock-RwLock,,lock-04,,,20042053.0,ns,382421
AsyncLock-RwLock,,lock-04,,,22422696.0,ns,399048
AsyncLock-RwLock,,lock-04,,,22993251.0,ns,415675
AsyncLock-RwLock,,lock-04,,,24699129.0,ns,432302
AsyncLock-RwLock,,lock-04,,,24960942.0,ns,448929
AsyncLock-RwLock,,lock-04,,,27314405.0,ns,465556
AsyncLock-RwLock,,lock-04,,,25949462.0,ns,482183
AsyncLock-RwLock,,lock-04,,,28391737.0,ns,498810
AsyncLock-RwLock,,lock-04,,,31255265.0,ns,515437
AsyncLock-RwLock,,lock-04,,,29918022.0,ns,532064
AsyncLock-RwLock,,lock-04,,,32429807.0,ns,548691
AsyncLock-RwLock,,lock-04,,,30143424.0,ns,565318
AsyncLock-RwLock,,lock-04,,,32607279.0,ns,581945
AsyncLock-RwLock,,lock-04,,,33231865.0,ns,598572
AsyncLock-RwLock,,lock-04,,,32419776.0,ns,615199
AsyncLock-RwLock,,lock-04,,,37408778.0,ns,631826
AsyncLock-RwLock,,lock-04,,,35717790.0,ns,648453
AsyncLock-RwLock,,lock-04,,,37657551.0,ns,665080
AsyncLock-RwLock,,lock-04,,,39723331.0,ns,681707
AsyncLock-RwLock,,lock-04,,,42206835.0,ns,698334
AsyncLock-RwLock,,lock-04,,,42195496.0,ns,714961
AsyncLock-RwLock,,lock-04,,,45273427.0,ns,731588
