group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
AsyncLock-RwLock,,lock-33,,,829838.0,ns,3147
AsyncLock-RwLock,,lock-33,,,1295903.0,ns,6294
AsyncLock-RwLock,,lock-33,,,2252802.0,ns,9441
AsyncLock-RwLock,,lock-33,,,5082882.0,ns,12588
AsyncLock-RwLock,,lock-33,,,4710097.0,ns,15735
AsyncLock-RwLock,,lock-33,,,3385464.0,ns,18882
AsyncLock-RwLock,,lock-33,,,7049980.0,ns,22029
AsyncLock-RwLock,,lock-33,,,4450095.0,ns,25176
AsyncLock-RwLock,,lock-33,,,10670518.0,ns,28323
AsyncLock-RwLock,,lock-33,,,9076861.0,ns,31470
AsyncLock-RwLock,,lock-33,,,7495806.0,ns,34617
AsyncLock-RwLock,,lock-33,,,14601647.0,ns,37764
AsyncLock-RwLock,,lock-33,,,14120742.0,ns,40911
AsyncLock-RwLock,,lock-33,,,14561677.0,ns,44058
AsyncLock-RwLock,,lock-33,,,16543297.0,ns,47205
AsyncLock-RwLock,,lock-33,,,11125163.0,ns,50352
AsyncLock-RwLock,,lock-33,,,13562976.0,ns,53499
AsyncLock-RwLock,,lock-33,,,11097322.0,ns,56646
AsyncLock-RwLock,,lock-33,,,16054443.0,ns,59793
AsyncLock-RwLock,,lock-33,,,12768818.0,ns,62940
AsyncLock-RwLock,,lock-33,,,19784390.0,ns,66087
AsyncLock-RwLock,,lock-33,,,18996441.0,ns,69234
AsyncLock-RwLock,,lock-33,,,15415065.0,ns,72381
AsyncLock-RwLock,,lock-33,,,24139134.0,ns,75528
AsyncLock-RwLock,,lock-33,,,26526777.0,ns,78675
AsyncLock-RwLock,,lock-33,,,25032842.0,ns,81822
AsyncLock-RwLock,,lock-33,,,21388855.0,ns,84969
AsyncLock-RwLock,,lock-33,,,24972752.0,ns,88116
AsyncLock-RwLock,,lock-33,,,28617038.0,ns,91263
AsyncLock-RwLock,,lock-33,,,30037873.0,ns,94410
AsyncLock-RwLock,,lock-33,,,30108484.0,ns,97557
AsyncLock-RwLock,,lock-33,,,21457807.0,ns,100704
AsyncLock-RwLock,,lock-33,,,31016712.0,ns,103851
AsyncLock-RwLock,,lock-33,,,30280796.0,ns,106998
AsyncLock-RwLock,,lock-33,,,26843220.0,ns,110145
AsyncLock-RwLock,,lock-33,,,22269465.0,ns,113292
AsyncLock-RwLock,,lock-33,,,34073174.0,ns,116439
AsyncLock-RwLock,,lock-33,,,26100943.0,ns,119586
AsyncLock-RwLock,,lock-33,,,40770242.0,ns,122733
AsyncLock-RwLock,,lock-33,,,41281965.0,ns,125880
AsyncLock-RwLock,,lock-33,,,24122663.0,ns,129027
AsyncLock-RwLock,,lock-33,,,23840101.0,ns,132174
AsyncLock-RwLock,,lock-33,,,32321796.0,ns,135321
AsyncLock-RwLock,,lock-33,,,38929323.0,ns,138468
AsyncLock-RwLock,,lock-33,,,45160086.0,ns,141615
AsyncLock-RwLock,,lock-33,,,41423017.0,ns,144762
AsyncLock-RwLock,,lock-33,,,41517919.0,ns,147909
AsyncLock-RwLock,,lock-33,,,34599028.0,ns,151056
AsyncLock-RwLock,,lock-33,,,52704841.0,ns,154203
AsyncLock-RwLock,,lock-33,,,40334717.0,ns,157350
AsyncLock-RwLock,,lock-33,,,64008546.0,ns,160497
AsyncLock-RwLock,,lock-33,,,35986133.0,ns,163644
AsyncLock-RwLock,,lock-33,,,41884413.0,ns,166791
AsyncLock-RwLock,,lock-33,,,48058364.0,ns,169938
AsyncLock-RwLock,,lock-33,,,39430428.0,ns,173085
AsyncLock-RwLock,,lock-33,,,39956633.0,ns,176232
AsyncLock-RwLock,,lock-33,,,59591842.0,ns,179379
AsyncLock-RwLock,,lock-33,,,49938093.0,ns,182526
AsyncLock-RwLock,,lock-33,,,64666863.0,ns,185673
AsyncLock-RwLock,,lock-33,,,32119794.0,ns,188820
AsyncLock-RwLock,,lock-33,,,52132035.0,ns,191967
AsyncLock-RwLock,,lock-33,,,67002077.0,ns,195114
AsyncLock-RwLock,,lock-33,,,40948702.0,ns,198261
AsyncLock-RwLock,,lock-33,,,42724951.0,ns,201408
AsyncLock-RwLock,,lock-33,,,60645732.0,ns,204555
AsyncLock-RwLock,,lock-33,,,65108437.0,ns,207702
