group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
AsyncLock-RwLock,,try_lock-02,,,1038691.0,ns,19452
AsyncLock-RwLock,,try_lock-02,,,2119142.0,ns,38904
AsyncLock-RwLock,,try_lock-02,,,3168982.0,ns,58356
AsyncLock-RwLock,,try_lock-02,,,4002511.0,ns,77808
AsyncLock-RwLock,,try_lock-02,,,5399504.0,ns,97260
AsyncLock-RwLock,,try_lock-02,,,6754478.0,ns,116712
AsyncLock-RwLock,,try_lock-02,,,7105323.0,ns,136164
AsyncLock-RwLock,,try_lock-02,,,8808139.0,ns,155616
AsyncLock-RwLock,,try_lock-02,,,9485585.0,ns,175068
AsyncLock-RwLock,,try_lock-02,,,9569807.0,ns,194520
AsyncLock-RwLock,,try_lock-02,,,11044161.0,ns,213972
AsyncLock-RwLock,,try_lock-02,,,12039732.0,ns,233424
AsyncLock-RwLock,,try_lock-02,,,29775690.0,ns,252876
AsyncLock-RwLock,,try_lock-02,,,14572448.0,ns,272328
AsyncLock-RwLock,,try_lock-02,,,16608428.0,ns,291780
AsyncLock-RwLock,,try_lock-02,,,17479146.0,ns,311232
AsyncLock-RwLock,,try_lock-02,,,26340866.0,ns,330684
AsyncLock-RwLock,,try_lock-02,,,20547577.0,ns,350136
AsyncLock-RwLock,,try_lock-02,,,18924891.0,ns,369588
AsyncLock-RwLock,,try_lock-02,,,21399076.0,ns,389040
AsyncLock-RwLock,,try_lock-02,,,22166074.0,ns,408492
AsyncLock-RwLock,,try_lock-02,,,23210904.0,ns,427944
AsyncLock-RwLock,,try_lock-02,,,25065844.0,ns,447396
AsyncLock-RwLock,,try_lock-02,,,23615639.0,ns,466848
AsyncLock-RwLock,,try_lock-02,,,25018313.0,ns,486300
AsyncLock-RwLock,,try_lock-02,,,26875090.0,ns,505752
AsyncLock-RwLock,,try_lock-02,,,26123353.0,ns,525204
AsyncLock-RwLock,,try_lock-02,,,31561789.0,ns,544656
AsyncLock-RwLock,,try_lock-02,,,32478397.0,ns,564108
AsyncLock-RwLock,,try_lock-02,,,30382197.0,ns,583560
AsyncLock-RwLock,,try_lock-02,,,30976053.0,ns,603012
AsyncLock-RwLock,,try_lock-02,,,29716970.0,ns,622464
AsyncLock-RwLock,,try_lock-02,,,34867283.0,ns,641916
AsyncLock-RwLock,,try_lock-02,,,32019973.0,ns,661368
AsyncLock-RwLock,,try_lock-02,,,39182915.0,ns,680820
AsyncLock-RwLock,,try_lock-02,,,36885694.0,ns,700272
AsyncLock-RwLock,,try_lock-02,,,39669940.0,ns,719724
AsyncLock-RwLock,,try_lock-02,,,35587408.0,ns,739176
AsyncLock-RwLock,,try_lock-02,,,38428919.0,ns,758628
AsyncLock-RwLock,,try_lock-02,,,39345267.0,ns,778080
AsyncLock-RwLock,,try_lock-02,,,41043704.0,ns,797532
AsyncLock-RwLock,,try_lock-02,,,47894313.0,ns,816984
AsyncLock-RwLock,,try_lock-02,,,55071595.0,ns,836436
AsyncLock-RwLock,,try_lock-02,,,40352647.0,ns,855888
AsyncLock-RwLock,,try_lock-02,,,50745033.0,ns,875340
AsyncLock-RwLock,,try_lock-02,,,48167536.0,ns,894792
AsyncLock-RwLock,,try_lock-02,,,48655171.0,ns,914244
AsyncLock-RwLock,,try_lock-02,,,49125485.0,ns,933696
AsyncLock-RwLock,,try_lock-02,,,47932795.0,ns,953148
AsyncLock-RwLock,,try_lock-02,,,50807743.0,ns,972600
AsyncLock-RwLock,,try_lock-02,,,52529131.0,ns,992052
AsyncLock-RwLock,,try_lock-02,,,54714942.0,ns,1011504
AsyncLock-RwLock,,try_lock-02,,,54468671.0,ns,1030956
AsyncLock-RwLock,,try_lock-02,,,64420970.0,ns,1050408
AsyncLock-RwLock,,try_lock-02,,,64667153.0,ns,1069860
AsyncLock-RwLock,,try_lock-02,,,58532850.0,ns,1089312
AsyncLock-RwLock,,try_lock-02,,,66422191.0,ns,1108764
AsyncLock-RwLock,,try_lock-02,,,66248209.0,ns,1128216
AsyncLock-RwLock,,try_lock-02,,,63405411.0,ns,1147668
AsyncLock-RwLock,,try_lock-02,,,58205058.0,ns,1167120
AsyncLock-RwLock,,try_lock-02,,,60624562.0,ns,1186572
AsyncLock-RwLock,,try_lock-02,,,93346893.0,ns,1206024
AsyncLock-RwLock,,try_lock-02,,,61010526.0,ns,1225476
AsyncLock-RwLock,,try_lock-02,,,72048137.0,ns,1244928
AsyncLock-RwLock,,try_lock-02,,,74797934.0,ns,1264380
AsyncLock-RwLock,,try_lock-02,,,65070807.0,ns,1283832
