group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
AsyncLock-RwLock,,try_lock-20,,,349774.0,ns,5070
AsyncLock-RwLock,,try_lock-20,,,713047.0,ns,10140
AsyncLock-RwLock,,try_lock-20,,,1903420.0,ns,15210
AsyncLock-RwLock,,try_lock-20,,,1038710.0,ns,20280
AsyncLock-RwLock,,try_lock-20,,,1447455.0,ns,25350
AsyncLock-RwLock,,try_lock-20,,,2690626.0,ns,30420
AsyncLock-RwLock,,try_lock-20,,,3572416.0,ns,35490
AsyncLock-RwLock,,try_lock-20,,,3738378.0,ns,40560
AsyncLock-RwLock,,try_lock-20,,,6997131.0,ns,45630
AsyncLock-RwLock,,try_lock-20,,,3935330.0,ns,50700
AsyncLock-RwLock,,try_lock-20,,,4337303.0,ns,55770
AsyncLock-RwLock,,try_lock-20,,,8069362.0,ns,60840
AsyncLock-RwLock,,try_lock-20,,,6317554.0,ns,65910
AsyncLock-RwLock,,try_lock-20,,,7051341.0,ns,70980
AsyncLock-RwLock,,try_lock-20,,,6516406.0,ns,76050
AsyncLock-RwLock,,try_lock-20,,,8081892.0,ns,81120
AsyncLock-RwLock,,try_lock-20,,,15322034.0,ns,86190
AsyncLock-RwLock,,try_lock-20,,,10201484.0,ns,91260
AsyncLock-RwLock,,try_lock-20,,,7880069.0,ns,96330
AsyncLock-RwLock,,try_lock-20,,,5936050.0,ns,101400
AsyncLock-RwLock,,try_lock-20,,,8048201.0,ns,106470
AsyncLock-RwLock,,try_lock-20,,,14990442.0,ns,111540
AsyncLock-RwLock,,try_lock-20,,,9905789.0,ns,116610
AsyncLock-RwLock,,try_lock-20,,,13407907.0,ns,121680
AsyncLock-RwLock,,try_lock-20,,,11865069.0,ns,126750
AsyncLock-RwLock,,try_lock-20,,,11124273.0,ns,131820
AsyncLock-RwLock,,try_lock-20,,,13078461.0,ns,136890
AsyncLock-RwLock,,try_lock-20,,,18314525.0,ns,141960
AsyncLock-RwLock,,try_lock-20,,,17949401.0,ns,147030
AsyncLock-RwLock,,try_lock-20,,,25936782.0,ns,152100
AsyncLock-RwLock,,try_lock-20,,,20645699.0,ns,157170
AsyncLock-RwLock,,try_lock-20,,,28098554.0,ns,162240
AsyncLock-RwLock,,try_lock-20,,,32755660.0,ns,167310
AsyncLock-RwLock,,try_lock-20,,,32236586.0,ns,172380
AsyncLock-RwLock,,try_lock-20,,,20186524.0,ns,177450
AsyncLock-RwLock,,try_lock-20,,,29540928.0,ns,182520
AsyncLock-RwLock,,try_lock-20,,,19111583.0,ns,187590
AsyncLock-RwLock,,try_lock-20,,,19971421.0,ns,192660
AsyncLock-RwLock,,try_lock-20,,,19557228.0,ns,197730
AsyncLock-RwLock,,try_lock-20,,,14943490.0,ns,202800
AsyncLock-RwLock,,try_lock-20,,,23010243.0,ns,207870
AsyncLock-RwLock,,try_lock-20,,,14289543.0,ns,212940
AsyncLock-RwLock,,try_lock-20,,,15492696.0,ns,218010
AsyncLock-RwLock,,try_lock-20,,,27804631.0,ns,223080
AsyncLock-RwLock,,try_lock-20,,,15119983.0,ns,228150
AsyncLock-RwLock,,try_lock-20,,,23419826.0,ns,233220
AsyncLock-RwLock,,try_lock-20,,,29021083.0,ns,238290
AsyncLock-RwLock,,try_lock-20,,,33333416.0,ns,243360
AsyncLock-RwLock,,try_lock-20,,,42962994.0,ns,248430
AsyncLock-RwLock,,try_lock-20,,,41097276.0,ns,253500
AsyncLock-RwLock,,try_lock-20,,,42687111.0,ns,258570
AsyncLock-RwLock,,try_lock-20,,,33555109.0,ns,263640
AsyncLock-RwLock,,try_lock-20,,,44579750.0,ns,268710
AsyncLock-RwLock,,try_lock-20,,,62278048.0,ns,273780
AsyncLock-RwLock,,try_lock-20,,,32350396.0,ns,278850
AsyncLock-RwLock,,try_lock-20,,,65759253.0,ns,283920
AsyncLock-RwLock,,try_lock-20,,,71153188.0,ns,288990
AsyncLock-RwLock,,try_lock-20,,,57180656.0,ns,294060
AsyncLock-RwLock,,try_lock-20,,,50521711.0,ns,299130
AsyncLock-RwLock,,try_lock-20,,,48110106.0,ns,304200
AsyncLock-RwLock,,try_lock-20,,,58023966.0,ns,309270
AsyncLock-RwLock,,try_lock-20,,,70754835.0,ns,314340
AsyncLock-RwLock,,try_lock-20,,,73706823.0,ns,319410
AsyncLock-RwLock,,try_lock-20,,,50609422.0,ns,324480
AsyncLock-RwLock,,try_lock-20,,,68234969.0,ns,329550
AsyncLock-RwLock,,try_lock-20,,,55101266.0,ns,334620
AsyncLock-RwLock,,try_lock-20,,,65633632.0,ns,339690
AsyncLock-RwLock,,try_lock-20,,,62242089.0,ns,344760
AsyncLock-RwLock,,try_lock-20,,,73551523.0,ns,349830
AsyncLock-RwLock,,try_lock-20,,,54858633.0,ns,354900
AsyncLock-RwLock,,try_lock-20,,,48365309.0,ns,359970
AsyncLock-RwLock,,try_lock-20,,,65800115.0,ns,365040
AsyncLock-RwLock,,try_lock-20,,,44970374.0,ns,370110
AsyncLock-RwLock,,try_lock-20,,,90055809.0,ns,375180
AsyncLock-RwLock,,try_lock-20,,,67435060.0,ns,380250
AsyncLock-RwLock,,try_lock-20,,,51044596.0,ns,385320
AsyncLock-RwLock,,try_lock-20,,,77463272.0,ns,390390
AsyncLock-RwLock,,try_lock-20,,,58659263.0,ns,395460
AsyncLock-RwLock,,try_lock-20,,,69531821.0,ns,400530
AsyncLock-RwLock,,try_lock-20,,,32141305.0,ns,405600
AsyncLock-RwLock,,try_lock-20,,,43299928.0,ns,410670
AsyncLock-RwLock,,try_lock-20,,,34367906.0,ns,415740
AsyncLock-RwLock,,try_lock-20,,,51097517.0,ns,420810
AsyncLock-RwLock,,try_lock-20,,,56519160.0,ns,425880
AsyncLock-RwLock,,try_lock-20,,,76172130.0,ns,430950
AsyncLock-RwLock,,try_lock-20,,,66379399.0,ns,436020
AsyncLock-RwLock,,try_lock-20,,,79526414.0,ns,441090
AsyncLock-RwLock,,try_lock-20,,,96657355.0,ns,446160
AsyncLock-RwLock,,try_lock-20,,,80222980.0,ns,451230
AsyncLock-RwLock,,try_lock-20,,,91250061.0,ns,456300
AsyncLock-RwLock,,try_lock-20,,,51774874.0,ns,461370
AsyncLock-RwLock,,try_lock-20,,,43930453.0,ns,466440
AsyncLock-RwLock,,try_lock-20,,,36618850.0,ns,471510
AsyncLock-RwLock,,try_lock-20,,,38160525.0,ns,476580
AsyncLock-RwLock,,try_lock-20,,,53311309.0,ns,481650
AsyncLock-RwLock,,try_lock-20,,,35030903.0,ns,486720
AsyncLock-RwLock,,try_lock-20,,,58902085.0,ns,491790
AsyncLock-RwLock,,try_lock-20,,,36765312.0,ns,496860
AsyncLock-RwLock,,try_lock-20,,,56350748.0,ns,501930
AsyncLock-RwLock,,try_lock-20,,,79794195.0,ns,507000
