group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
tokio-Mutex,,lock-20,,,831078.0,ns,334
tokio-Mutex,,lock-20,,,2313053.0,ns,668
tokio-Mutex,,lock-20,,,2293732.0,ns,1002
tokio-Mutex,,lock-20,,,4021951.0,ns,1336
tokio-Mutex,,lock-20,,,2338763.0,ns,1670
tokio-Mutex,,lock-20,,,7358585.0,ns,2004
tokio-Mutex,,lock-20,,,6141753.0,ns,2338
tokio-Mutex,,lock-20,,,8403194.0,ns,2672
tokio-Mutex,,lock-20,,,6750488.0,ns,3006
tokio-Mutex,,lock-20,,,6268894.0,ns,3340
tokio-Mutex,,lock-20,,,6454564.0,ns,3674
tokio-Mutex,,lock-20,,,8343695.0,ns,4008
tokio-Mutex,,lock-20,,,17197603.0,ns,4342
tokio-Mutex,,lock-20,,,11821691.0,ns,4676
tokio-Mutex,,lock-20,,,13709298.0,ns,5010
tokio-Mutex,,lock-20,,,10166933.0,ns,5344
tokio-Mutex,,lock-20,,,18646078.0,ns,5678
tokio-Mutex,,lock-20,,,16511106.0,ns,6012
tokio-Mutex,,lock-20,,,14046533.0,ns,6346
tokio-Mutex,,lock-20,,,24402627.0,ns,6680
tokio-Mutex,,lock-20,,,20726719.0,ns,7014
tokio-Mutex,,lock-20,,,4460666.0,ns,7348
tokio-Mutex,,lock-20,,,27191174.0,ns,7682
tokio-Mutex,,lock-20,,,16230414.0,ns,8016
tokio-Mutex,,lock-20,,,29362637.0,ns,8350
tokio-Mutex,,lock-20,,,16295644.0,ns,8684
tokio-Mutex,,lock-20,,,33986263.0,ns,9018
tokio-Mutex,,lock-20,,,33368077.0,ns,9352
tokio-Mutex,,lock-20,,,32486149.0,ns,9686
tokio-Mutex,,lock-20,,,27878412.0,ns,10020
tokio-Mutex,,lock-20,,,19967522.0,ns,10354
tokio-Mutex,,lock-20,,,37870752.0,ns,10688
tokio-Mutex,,lock-20,,,17620377.0,ns,11022
tokio-Mutex,,lock-20,,,33057475.0,ns,11356
tokio-Mutex,,lock-20,,,15984861.0,ns,11690
tokio-Mutex,,lock-20,,,34141406.0,ns,12024
tokio-Mutex,,lock-20,,,26953712.0,ns,12358
tokio-Mutex,,lock-20,,,11286883.0,ns,12692
tokio-Mutex,,lock-20,,,34188296.0,ns,13026
tokio-Mutex,,lock-20,,,40271366.0,ns,13360
tokio-Mutex,,lock-20,,,22038103.0,ns,13694
tokio-Mutex,,lock-20,,,51876714.0,ns,14028
tokio-Mutex,,lock-20,,,52766704.0,ns,14362
tokio-Mutex,,lock-20,,,63902175.0,ns,14696
tokio-Mutex,,lock-20,,,44941924.0,ns,15030
tokio-Mutex,,lock-20,,,37936713.0,ns,15364
tokio-Mutex,,lock-20,,,3103991.0,ns,15698
tokio-Mutex,,lock-20,,,2159992.0,ns,16032
tokio-Mutex,,lock-20,,,1651287.0,ns,16366
tokio-Mutex,,lock-20,,,4123592.0,ns,16700
tokio-Mutex,,lock-20,,,4116132.0,ns,17034
tokio-Mutex,,lock-20,,,2520085.0,ns,17368
tokio-Mutex,,lock-20,,,4133482.0,ns,17702
tokio-Mutex,,lock-20,,,3258262.0,ns,18036
tokio-Mutex,,lock-20,,,8332095.0,ns,18370
tokio-Mutex,,lock-20,,,56154778.0,ns,18704
tokio-Mutex,,lock-20,,,57136046.0,ns,19038
tokio-Mutex,,lock-20,,,71216389.0,ns,19372
tokio-Mutex,,lock-20,,,15329896.0,ns,19706
tokio-Mutex,,lock-20,,,17348755.0,ns,20040
tokio-Mutex,,lock-20,,,33656541.0,ns,20374
tokio-Mutex,,lock-20,,,45834643.0,ns,20708
tokio-Mutex,,lock-20,,,50039694.0,ns,21042
tokio-Mutex,,lock-20,,,69226071.0,ns,21376
tokio-Mutex,,lock-20,,,70687404.0,ns,21710
tokio-Mutex,,lock-20,,,68690544.0,ns,22044
tokio-Mutex,,lock-20,,,53917024.0,ns,22378
tokio-Mutex,,lock-20,,,73598933.0,ns,22712
tokio-Mutex,,lock-20,,,81273892.0,ns,23046
tokio-Mutex,,lock-20,,,78977229.0,ns,23380
tokio-Mutex,,lock-20,,,60186347.0,ns,23714
tokio-Mutex,,lock-20,,,77567664.0,ns,24048
tokio-Mutex,,lock-20,,,67618633.0,ns,24382
tokio-Mutex,,lock-20,,,22536078.0,ns,24716
tokio-Mutex,,lock-20,,,48523370.0,ns,25050
tokio-Mutex,,lock-20,,,74471133.0,ns,25384
tokio-Mutex,,lock-20,,,61845784.0,ns,25718
tokio-Mutex,,lock-20,,,67093508.0,ns,26052
tokio-Mutex,,lock-20,,,95852958.0,ns,26386
tokio-Mutex,,lock-20,,,53792334.0,ns,26720
tokio-Mutex,,lock-20,,,100296704.0,ns,27054
tokio-Mutex,,lock-20,,,92756707.0,ns,27388
tokio-Mutex,,lock-20,,,78564514.0,ns,27722
tokio-Mutex,,lock-20,,,89538435.0,ns,28056
tokio-Mutex,,lock-20,,,97979040.0,ns,28390
