group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
tokio-Mutex,,lock-50,,,1041191.0,ns,235
tokio-Mutex,,lock-50,,,2629596.0,ns,470
tokio-Mutex,,lock-50,,,3033041.0,ns,705
tokio-Mutex,,lock-50,,,4136602.0,ns,940
tokio-Mutex,,lock-50,,,6495185.0,ns,1175
tokio-Mutex,,lock-50,,,8349695.0,ns,1410
tokio-Mutex,,lock-50,,,7383944.0,ns,1645
tokio-Mutex,,lock-50,,,7425035.0,ns,1880
tokio-Mutex,,lock-50,,,8332075.0,ns,2115
tokio-Mutex,,lock-50,,,10089051.0,ns,2350
tokio-Mutex,,lock-50,,,11408376.0,ns,2585
tokio-Mutex,,lock-50,,,6774949.0,ns,2820
tokio-Mutex,,lock-50,,,10189002.0,ns,3055
tokio-Mutex,,lock-50,,,12730729.0,ns,3290
tokio-Mutex,,lock-50,,,19040932.0,ns,3525
tokio-Mutex,,lock-50,,,14007041.0,ns,3760
tokio-Mutex,,lock-50,,,14445807.0,ns,3995
tokio-Mutex,,lock-50,,,22640769.0,ns,4230
tokio-Mutex,,lock-50,,,21796450.0,ns,4465
tokio-Mutex,,lock-50,,,15483256.0,ns,4700
tokio-Mutex,,lock-50,,,17962981.0,ns,4935
tokio-Mutex,,lock-50,,,20065552.0,ns,5170
tokio-Mutex,,lock-50,,,25681530.0,ns,5405
tokio-Mutex,,lock-50,,,27916182.0,ns,5640
tokio-Mutex,,lock-50,,,20348216.0,ns,5875
tokio-Mutex,,lock-50,,,29712300.0,ns,6110
tokio-Mutex,,lock-50,,,18288455.0,ns,6345
tokio-Mutex,,lock-50,,,24808791.0,ns,6580
tokio-Mutex,,lock-50,,,34228186.0,ns,6815
tokio-Mutex,,lock-50,,,29917941.0,ns,7050
tokio-Mutex,,lock-50,,,23310926.0,ns,7285
tokio-Mutex,,lock-50,,,32850982.0,ns,7520
tokio-Mutex,,lock-50,,,35172395.0,ns,7755
tokio-Mutex,,lock-50,,,33598680.0,ns,7990
tokio-Mutex,,lock-50,,,42955584.0,ns,8225
tokio-Mutex,,lock-50,,,44915273.0,ns,8460
tokio-Mutex,,lock-50,,,54908866.0,ns,8695
tokio-Mutex,,lock-50,,,40652820.0,ns,8930
tokio-Mutex,,lock-50,,,46654371.0,ns,9165
tokio-Mutex,,lock-50,,,52487981.0,ns,9400
tokio-Mutex,,lock-50,,,44494169.0,ns,9635
tokio-Mutex,,lock-50,,,38823702.0,ns,9870
tokio-Mutex,,lock-50,,,58592593.0,ns,10105
tokio-Mutex,,lock-50,,,49366117.0,ns,10340
tokio-Mutex,,lock-50,,,42867274.0,ns,10575
tokio-Mutex,,lock-50,,,38828522.0,ns,10810
tokio-Mutex,,lock-50,,,48568181.0,ns,11045
tokio-Mutex,,lock-50,,,62710553.0,ns,11280
tokio-Mutex,,lock-50,,,48337978.0,ns,11515
tokio-Mutex,,lock-50,,,64242189.0,ns,11750
tokio-Mutex,,lock-50,,,44434069.0,ns,11985
tokio-Mutex,,lock-50,,,56030316.0,ns,12220
tokio-Mutex,,lock-50,,,51636032.0,ns,12455
tokio-Mutex,,lock-50,,,54120216.0,ns,12690
tokio-Mutex,,lock-50,,,56678873.0,ns,12925
tokio-Mutex,,lock-50,,,65087667.0,ns,13160
tokio-Mutex,,lock-50,,,64057427.0,ns,13395
tokio-Mutex,,lock-50,,,57992757.0,ns,13630
tokio-Mutex,,lock-50,,,66068877.0,ns,13865
tokio-Mutex,,lock-50,,,52636482.0,ns,14100
tokio-Mutex,,lock-50,,,59584871.0,ns,14335
tokio-Mutex,,lock-50,,,59653124.0,ns,14570
tokio-Mutex,,lock-50,,,57690692.0,ns,14805
tokio-Mutex,,lock-50,,,69131898.0,ns,15040
tokio-Mutex,,lock-50,,,76114070.0,ns,15275
tokio-Mutex,,lock-50,,,66403170.0,ns,15510
tokio-Mutex,,lock-50,,,71015238.0,ns,15745
tokio-Mutex,,lock-50,,,35260795.0,ns,15980
tokio-Mutex,,lock-50,,,57321590.0,ns,16215
tokio-Mutex,,lock-50,,,56646533.0,ns,16450
tokio-Mutex,,lock-50,,,82462072.0,ns,16685
tokio-Mutex,,lock-50,,,84167530.0,ns,16920
