group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
tokio-Mutex,,try_lock-04,,,657536.0,ns,12403
tokio-Mutex,,try_lock-04,,,1591346.0,ns,24806
tokio-Mutex,,try_lock-04,,,1693537.0,ns,37209
tokio-Mutex,,try_lock-04,,,2152482.0,ns,49612
tokio-Mutex,,try_lock-04,,,2671647.0,ns,62015
tokio-Mutex,,try_lock-04,,,3804477.0,ns,74418
tokio-Mutex,,try_lock-04,,,4083602.0,ns,86821
tokio-Mutex,,try_lock-04,,,5322614.0,ns,99224
tokio-Mutex,,try_lock-04,,,7308724.0,ns,111627
tokio-Mutex,,try_lock-04,,,6087871.0,ns,124030
tokio-Mutex,,try_lock-04,,,6736547.0,ns,136433
tokio-Mutex,,try_lock-04,,,7156783.0,ns,148836
tokio-Mutex,,try_lock-04,,,6626848.0,ns,161239
tokio-Mutex,,try_lock-04,,,8197622.0,ns,173642
tokio-Mutex,,try_lock-04,,,6881480.0,ns,186045
tokio-Mutex,,try_lock-04,,,9894390.0,ns,198448
tokio-Mutex,,try_lock-04,,,8165303.0,ns,210851
tokio-Mutex,,try_lock-04,,,8989710.0,ns,223254
tokio-Mutex,,try_lock-04,,,10650088.0,ns,235657
tokio-Mutex,,try_lock-04,,,13706567.0,ns,248060
tokio-Mutex,,try_lock-04,,,11408116.0,ns,260463
tokio-Mutex,,try_lock-04,,,16756259.0,ns,272866
tokio-Mutex,,try_lock-04,,,13205695.0,ns,285269
tokio-Mutex,,try_lock-04,,,14662347.0,ns,297672
tokio-Mutex,,try_lock-04,,,14189815.0,ns,310075
tokio-Mutex,,try_lock-04,,,18486896.0,ns,322478
tokio-Mutex,,try_lock-04,,,15686728.0,ns,334881
tokio-Mutex,,try_lock-04,,,15501638.0,ns,347284
tokio-Mutex,,try_lock-04,,,14530106.0,ns,359687
tokio-Mutex,,try_lock-04,,,15481167.0,ns,372090
tokio-Mutex,,try_lock-04,,,17109383.0,ns,384493
tokio-Mutex,,try_lock-04,,,19584368.0,ns,396896
tokio-Mutex,,try_lock-04,,,18792421.0,ns,409299
tokio-Mutex,,try_lock-04,,,17082832.0,ns,421702
tokio-Mutex,,try_lock-04,,,17848770.0,ns,434105
tokio-Mutex,,try_lock-04,,,20541578.0,ns,446508
tokio-Mutex,,try_lock-04,,,20142544.0,ns,458911
tokio-Mutex,,try_lock-04,,,20897151.0,ns,471314
