group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
tokio-Mutex,,try_lock-33,,,453675.0,ns,193
tokio-Mutex,,try_lock-33,,,387894.0,ns,386
tokio-Mutex,,try_lock-33,,,2221692.0,ns,579
tokio-Mutex,,try_lock-33,,,2384985.0,ns,772
tokio-Mutex,,try_lock-33,,,1315833.0,ns,965
tokio-Mutex,,try_lock-33,,,3988710.0,ns,1158
tokio-Mutex,,try_lock-33,,,3124721.0,ns,1351
tokio-Mutex,,try_lock-33,,,2364794.0,ns,1544
tokio-Mutex,,try_lock-33,,,2316873.0,ns,1737
tokio-Mutex,,try_lock-33,,,7407376.0,ns,1930
tokio-Mutex,,try_lock-33,,,1230122.0,ns,2123
tokio-Mutex,,try_lock-33,,,1946140.0,ns,2316
tokio-Mutex,,try_lock-33,,,6407125.0,ns,2509
tokio-Mutex,,try_lock-33,,,4156951.0,ns,2702
tokio-Mutex,,try_lock-33,,,10815890.0,ns,2895
tokio-Mutex,,try_lock-33,,,8682408.0,ns,3088
tokio-Mutex,,try_lock-33,,,11231643.0,ns,3281
tokio-Mutex,,try_lock-33,,,10540897.0,ns,3474
tokio-Mutex,,try_lock-33,,,17255464.0,ns,3667
tokio-Mutex,,try_lock-33,,,4854890.0,ns,3860
tokio-Mutex,,try_lock-33,,,3822259.0,ns,4053
tokio-Mutex,,try_lock-33,,,13611997.0,ns,4246
tokio-Mutex,,try_lock-33,,,27506428.0,ns,4439
tokio-Mutex,,try_lock-33,,,23368656.0,ns,4632
tokio-Mutex,,try_lock-33,,,20411378.0,ns,4825
tokio-Mutex,,try_lock-33,,,18998751.0,ns,5018
tokio-Mutex,,try_lock-33,,,7171503.0,ns,5211
tokio-Mutex,,try_lock-33,,,4685256.0,ns,5404
tokio-Mutex,,try_lock-33,,,19586419.0,ns,5597
tokio-Mutex,,try_lock-33,,,24128964.0,ns,5790
tokio-Mutex,,try_lock-33,,,5731147.0,ns,5983
tokio-Mutex,,try_lock-33,,,23760762.0,ns,6176
tokio-Mutex,,try_lock-33,,,12868719.0,ns,6369
tokio-Mutex,,try_lock-33,,,23149024.0,ns,6562
tokio-Mutex,,try_lock-33,,,36748992.0,ns,6755
tokio-Mutex,,try_lock-33,,,25716720.0,ns,6948
tokio-Mutex,,try_lock-33,,,24164044.0,ns,7141
tokio-Mutex,,try_lock-33,,,43099845.0,ns,7334
tokio-Mutex,,try_lock-33,,,34501949.0,ns,7527
tokio-Mutex,,try_lock-33,,,23312756.0,ns,7720
tokio-Mutex,,try_lock-33,,,46664951.0,ns,7913
tokio-Mutex,,try_lock-33,,,20233044.0,ns,8106
tokio-Mutex,,try_lock-33,,,28236036.0,ns,8299
tokio-Mutex,,try_lock-33,,,32253136.0,ns,8492
tokio-Mutex,,try_lock-33,,,40324517.0,ns,8685
tokio-Mutex,,try_lock-33,,,33113765.0,ns,8878
tokio-Mutex,,try_lock-33,,,10058702.0,ns,9071
tokio-Mutex,,try_lock-33,,,25996193.0,ns,9264
tokio-Mutex,,try_lock-33,,,41139715.0,ns,9457
tokio-Mutex,,try_lock-33,,,30710651.0,ns,9650
tokio-Mutex,,try_lock-33,,,32907273.0,ns,9843
tokio-Mutex,,try_lock-33,,,54725764.0,ns,10036
tokio-Mutex,,try_lock-33,,,35082223.0,ns,10229
tokio-Mutex,,try_lock-33,,,25840282.0,ns,10422
tokio-Mutex,,try_lock-33,,,38127336.0,ns,10615
tokio-Mutex,,try_lock-33,,,45292477.0,ns,10808
tokio-Mutex,,try_lock-33,,,96648727.0,ns,11001
tokio-Mutex,,try_lock-33,,,88196682.0,ns,11194
tokio-Mutex,,try_lock-33,,,73482593.0,ns,11387
tokio-Mutex,,try_lock-33,,,85804478.0,ns,11580
tokio-Mutex,,try_lock-33,,,65755824.0,ns,11773
tokio-Mutex,,try_lock-33,,,29810861.0,ns,11966
tokio-Mutex,,try_lock-33,,,36281807.0,ns,12159
tokio-Mutex,,try_lock-33,,,44342648.0,ns,12352
tokio-Mutex,,try_lock-33,,,46452579.0,ns,12545
tokio-Mutex,,try_lock-33,,,67472673.0,ns,12738
tokio-Mutex,,try_lock-33,,,84345643.0,ns,12931
tokio-Mutex,,try_lock-33,,,69009847.0,ns,13124
tokio-Mutex,,try_lock-33,,,40260937.0,ns,13317
tokio-Mutex,,try_lock-33,,,69472783.0,ns,13510
tokio-Mutex,,try_lock-33,,,49117216.0,ns,13703
tokio-Mutex,,try_lock-33,,,12712748.0,ns,13896
tokio-Mutex,,try_lock-33,,,38737362.0,ns,14089
tokio-Mutex,,try_lock-33,,,44525250.0,ns,14282
tokio-Mutex,,try_lock-33,,,50459190.0,ns,14475
tokio-Mutex,,try_lock-33,,,56910286.0,ns,14668
tokio-Mutex,,try_lock-33,,,49305588.0,ns,14861
tokio-Mutex,,try_lock-33,,,50831214.0,ns,15054
tokio-Mutex,,try_lock-33,,,57780734.0,ns,15247
tokio-Mutex,,try_lock-33,,,56265399.0,ns,15440
tokio-Mutex,,try_lock-33,,,55768384.0,ns,15633
tokio-Mutex,,try_lock-33,,,57033326.0,ns,15826
tokio-Mutex,,try_lock-33,,,46904045.0,ns,16019
tokio-Mutex,,try_lock-33,,,62296979.0,ns,16212
tokio-Mutex,,try_lock-33,,,54454200.0,ns,16405
tokio-Mutex,,try_lock-33,,,56947946.0,ns,16598
tokio-Mutex,,try_lock-33,,,58239160.0,ns,16791
tokio-Mutex,,try_lock-33,,,56652742.0,ns,16984
