group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
tokio-RwLock,,lock-10,,,296823.0,ns,3050
tokio-RwLock,,lock-10,,,5824128.0,ns,6100
tokio-RwLock,,lock-10,,,9187903.0,ns,9150
tokio-RwLock,,lock-10,,,23274665.0,ns,12200
tokio-RwLock,,lock-10,,,12356415.0,ns,15250
tokio-RwLock,,lock-10,,,1523336.0,ns,18300
tokio-RwLock,,lock-10,,,9858489.0,ns,21350
tokio-RwLock,,lock-10,,,15466247.0,ns,24400
tokio-RwLock,,lock-10,,,13966221.0,ns,27450
tokio-RwLock,,lock-10,,,44893324.0,ns,30500
tokio-RwLock,,lock-10,,,57411791.0,ns,33550
tokio-RwLock,,lock-10,,,10314265.0,ns,36600
tokio-RwLock,,lock-10,,,3705347.0,ns,39650
tokio-RwLock,,lock-10,,,3686627.0,ns,42700
tokio-RwLock,,lock-10,,,5343284.0,ns,45750
tokio-RwLock,,lock-10,,,11783860.0,ns,48800
tokio-RwLock,,lock-10,,,20466677.0,ns,51850
tokio-RwLock,,lock-10,,,11610018.0,ns,54900
tokio-RwLock,,lock-10,,,15822349.0,ns,57950
tokio-RwLock,,lock-10,,,7301994.0,ns,61000
tokio-RwLock,,lock-10,,,20419606.0,ns,64050
tokio-RwLock,,lock-10,,,31910313.0,ns,67100
tokio-RwLock,,lock-10,,,30875183.0,ns,70150
tokio-RwLock,,lock-10,,,4764828.0,ns,73200
tokio-RwLock,,lock-10,,,45212267.0,ns,76250
tokio-RwLock,,lock-10,,,7512876.0,ns,79300
tokio-RwLock,,lock-10,,,58062668.0,ns,82350
tokio-RwLock,,lock-10,,,28352537.0,ns,85400
tokio-RwLock,,lock-10,,,18458237.0,ns,88450
tokio-RwLock,,lock-10,,,9333664.0,ns,91500
tokio-RwLock,,lock-10,,,40544060.0,ns,94550
tokio-RwLock,,lock-10,,,65373442.0,ns,97600
tokio-RwLock,,lock-10,,,14850350.0,ns,100650
tokio-RwLock,,lock-10,,,9749429.0,ns,103700
tokio-RwLock,,lock-10,,,10380175.0,ns,106750
tokio-RwLock,,lock-10,,,16033902.0,ns,109800
tokio-RwLock,,lock-10,,,115692220.0,ns,112850
tokio-RwLock,,lock-10,,,162493905.0,ns,115900
tokio-RwLock,,lock-10,,,126763271.0,ns,118950
tokio-RwLock,,lock-10,,,77882749.0,ns,122000
tokio-RwLock,,lock-10,,,34166246.0,ns,125050
tokio-RwLock,,lock-10,,,70767365.0,ns,128100
tokio-RwLock,,lock-10,,,18744989.0,ns,131150
tokio-RwLock,,lock-10,,,29146575.0,ns,134200
tokio-RwLock,,lock-10,,,32615630.0,ns,137250
tokio-RwLock,,lock-10,,,110652021.0,ns,140300
tokio-RwLock,,lock-10,,,165604054.0,ns,143350
tokio-RwLock,,lock-10,,,21246945.0,ns,146400
tokio-RwLock,,lock-10,,,130719783.0,ns,149450
tokio-RwLock,,lock-10,,,80370183.0,ns,152500
tokio-RwLock,,lock-10,,,126768102.0,ns,155550
tokio-RwLock,,lock-10,,,61390001.0,ns,158600
tokio-RwLock,,lock-10,,,76252290.0,ns,161650
tokio-RwLock,,lock-10,,,23736511.0,ns,164700
tokio-RwLock,,lock-10,,,41501110.0,ns,167750
tokio-RwLock,,lock-10,,,26410257.0,ns,170800
tokio-RwLock,,lock-10,,,116134125.0,ns,173850
tokio-RwLock,,lock-10,,,179446415.0,ns,176900
tokio-RwLock,,lock-10,,,94274494.0,ns,179950
tokio-RwLock,,lock-10,,,49415160.0,ns,183000
tokio-RwLock,,lock-10,,,79471365.0,ns,186050
tokio-RwLock,,lock-10,,,139588201.0,ns,189100
tokio-RwLock,,lock-10,,,121969414.0,ns,192150
tokio-RwLock,,lock-10,,,52036466.0,ns,195200
tokio-RwLock,,lock-10,,,131229789.0,ns,198250
tokio-RwLock,,lock-10,,,139366269.0,ns,201300
tokio-RwLock,,lock-10,,,127154257.0,ns,204350
tokio-RwLock,,lock-10,,,107211084.0,ns,207400
tokio-RwLock,,lock-10,,,142693083.0,ns,210450
tokio-RwLock,,lock-10,,,123119736.0,ns,213500
tokio-RwLock,,lock-10,,,180352465.0,ns,216550
tokio-RwLock,,lock-10,,,63969017.0,ns,219600
tokio-RwLock,,lock-10,,,141345780.0,ns,222650
tokio-RwLock,,lock-10,,,192183614.0,ns,225700
tokio-RwLock,,lock-10,,,90869619.0,ns,228750
tokio-RwLock,,lock-10,,,213667692.0,ns,231800
tokio-RwLock,,lock-10,,,93454615.0,ns,234850
tokio-RwLock,,lock-10,,,140095727.0,ns,237900
tokio-RwLock,,lock-10,,,45567332.0,ns,240950
tokio-RwLock,,lock-10,,,79675036.0,ns,244000
tokio-RwLock,,lock-10,,,74322902.0,ns,247050
tokio-RwLock,,lock-10,,,80559505.0,ns,250100
tokio-RwLock,,lock-10,,,89597046.0,ns,253150
tokio-RwLock,,lock-10,,,116617800.0,ns,256200
tokio-RwLock,,lock-10,,,21800260.0,ns,259250
tokio-RwLock,,lock-10,,,47395421.0,ns,262300
tokio-RwLock,,lock-10,,,34423417.0,ns,265350
tokio-RwLock,,lock-10,,,111726571.0,ns,268400
tokio-RwLock,,lock-10,,,82553145.0,ns,271450
tokio-RwLock,,lock-10,,,32022144.0,ns,274500
tokio-RwLock,,lock-10,,,45583671.0,ns,277550
tokio-RwLock,,lock-10,,,38367678.0,ns,280600
tokio-RwLock,,lock-10,,,256067990.0,ns,283650
