group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
tokio-RwLock,,lock-100,,,1230062.0,ns,252
tokio-RwLock,,lock-100,,,885689.0,ns,504
tokio-RwLock,,lock-100,,,2338214.0,ns,756
tokio-RwLock,,lock-100,,,4549907.0,ns,1008
tokio-RwLock,,lock-100,,,5225313.0,ns,1260
tokio-RwLock,,lock-100,,,6218322.0,ns,1512
tokio-RwLock,,lock-100,,,7256713.0,ns,1764
tokio-RwLock,,lock-100,,,8148633.0,ns,2016
tokio-RwLock,,lock-100,,,6946191.0,ns,2268
tokio-RwLock,,lock-100,,,11625266.0,ns,2520
tokio-RwLock,,lock-100,,,10335696.0,ns,2772
tokio-RwLock,,lock-100,,,13157342.0,ns,3024
tokio-RwLock,,lock-100,,,13958682.0,ns,3276
tokio-RwLock,,lock-100,,,14758838.0,ns,3528
tokio-RwLock,,lock-100,,,15876012.0,ns,3780
tokio-RwLock,,lock-100,,,21107383.0,ns,4032
tokio-RwLock,,lock-100,,,19245334.0,ns,4284
tokio-RwLock,,lock-100,,,16814321.0,ns,4536
tokio-RwLock,,lock-100,,,21425716.0,ns,4788
tokio-RwLock,,lock-100,,,21794100.0,ns,5040
tokio-RwLock,,lock-100,,,24791350.0,ns,5292
tokio-RwLock,,lock-100,,,24098105.0,ns,5544
tokio-RwLock,,lock-100,,,28049463.0,ns,5796
tokio-RwLock,,lock-100,,,31768971.0,ns,6048
tokio-RwLock,,lock-100,,,34558180.0,ns,6300
tokio-RwLock,,lock-100,,,26998543.0,ns,6552
tokio-RwLock,,lock-100,,,27491278.0,ns,6804
tokio-RwLock,,lock-100,,,28652840.0,ns,7056
tokio-RwLock,,lock-100,,,26435077.0,ns,7308
tokio-RwLock,,lock-100,,,26408807.0,ns,7560
tokio-RwLock,,lock-100,,,27015333.0,ns,7812
tokio-RwLock,,lock-100,,,37634971.0,ns,8064
tokio-RwLock,,lock-100,,,30940673.0,ns,8316
tokio-RwLock,,lock-100,,,36649481.0,ns,8568
tokio-RwLock,,lock-100,,,42300827.0,ns,8820
tokio-RwLock,,lock-100,,,50692402.0,ns,9072
tokio-RwLock,,lock-100,,,45778964.0,ns,9324
tokio-RwLock,,lock-100,,,47402259.0,ns,9576
tokio-RwLock,,lock-100,,,44846823.0,ns,9828
tokio-RwLock,,lock-100,,,35225536.0,ns,10080
tokio-RwLock,,lock-100,,,42204908.0,ns,10332
tokio-RwLock,,lock-100,,,56008436.0,ns,10584
tokio-RwLock,,lock-100,,,49625952.0,ns,10836
tokio-RwLock,,lock-100,,,44167536.0,ns,11088
tokio-RwLock,,lock-100,,,54844445.0,ns,11340
tokio-RwLock,,lock-100,,,56883075.0,ns,11592
tokio-RwLock,,lock-100,,,56097607.0,ns,11844
tokio-RwLock,,lock-100,,,56346550.0,ns,12096
tokio-RwLock,,lock-100,,,66714056.0,ns,12348
tokio-RwLock,,lock-100,,,54468810.0,ns,12600
tokio-RwLock,,lock-100,,,59040808.0,ns,12852
tokio-RwLock,,lock-100,,,64099658.0,ns,13104
tokio-RwLock,,lock-100,,,62399150.0,ns,13356
tokio-RwLock,,lock-100,,,62234340.0,ns,13608
tokio-RwLock,,lock-100,,,62776725.0,ns,13860
tokio-RwLock,,lock-100,,,54742834.0,ns,14112
tokio-RwLock,,lock-100,,,73213990.0,ns,14364
tokio-RwLock,,lock-100,,,66698545.0,ns,14616
tokio-RwLock,,lock-100,,,66538103.0,ns,14868
tokio-RwLock,,lock-100,,,66864846.0,ns,15120
tokio-RwLock,,lock-100,,,68048299.0,ns,15372
tokio-RwLock,,lock-100,,,58776304.0,ns,15624
tokio-RwLock,,lock-100,,,78099770.0,ns,15876
tokio-RwLock,,lock-100,,,79867497.0,ns,16128
tokio-RwLock,,lock-100,,,58707964.0,ns,16380
tokio-RwLock,,lock-100,,,61284240.0,ns,16632
tokio-RwLock,,lock-100,,,66799556.0,ns,16884
tokio-RwLock,,lock-100,,,66036557.0,ns,17136
tokio-RwLock,,lock-100,,,88066941.0,ns,17388
tokio-RwLock,,lock-100,,,75753886.0,ns,17640
tokio-RwLock,,lock-100,,,90045801.0,ns,17892
tokio-RwLock,,lock-100,,,89737558.0,ns,18144
tokio-RwLock,,lock-100,,,71841796.0,ns,18396
tokio-RwLock,,lock-100,,,73247122.0,ns,18648
tokio-RwLock,,lock-100,,,66439731.0,ns,18900
tokio-RwLock,,lock-100,,,74307332.0,ns,19152
tokio-RwLock,,lock-100,,,75884257.0,ns,19404
tokio-RwLock,,lock-100,,,77671255.0,ns,19656
tokio-RwLock,,lock-100,,,73233542.0,ns,19908
tokio-RwLock,,lock-100,,,100614197.0,ns,20160
tokio-RwLock,,lock-100,,,56224239.0,ns,20412
tokio-RwLock,,lock-100,,,83327382.0,ns,20664
tokio-RwLock,,lock-100,,,73373233.0,ns,20916
tokio-RwLock,,lock-100,,,82737847.0,ns,21168
tokio-RwLock,,lock-100,,,102856740.0,ns,21420
tokio-RwLock,,lock-100,,,82938979.0,ns,21672
tokio-RwLock,,lock-100,,,82274472.0,ns,21924
tokio-RwLock,,lock-100,,,84835058.0,ns,22176
tokio-RwLock,,lock-100,,,89615596.0,ns,22428
tokio-RwLock,,lock-100,,,100359855.0,ns,22680
tokio-RwLock,,lock-100,,,121392518.0,ns,22932
tokio-RwLock,,lock-100,,,95472006.0,ns,23184
tokio-RwLock,,lock-100,,,86432744.0,ns,23436
tokio-RwLock,,lock-100,,,84642396.0,ns,23688
tokio-RwLock,,lock-100,,,96380603.0,ns,23940
tokio-RwLock,,lock-100,,,97133904.0,ns,24192
tokio-RwLock,,lock-100,,,97801328.0,ns,24444
tokio-RwLock,,lock-100,,,52148238.0,ns,24696
tokio-RwLock,,lock-100,,,106162824.0,ns,24948
tokio-RwLock,,lock-100,,,112483978.0,ns,25200
