group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
tokio-RwLock,,try_lock-02,,,861039.0,ns,19061
tokio-RwLock,,try_lock-02,,,1387094.0,ns,38122
tokio-RwLock,,try_lock-02,,,2615967.0,ns,57183
tokio-RwLock,,try_lock-02,,,2959830.0,ns,76244
tokio-RwLock,,try_lock-02,,,3477325.0,ns,95305
tokio-RwLock,,try_lock-02,,,4466695.0,ns,114366
tokio-RwLock,,try_lock-02,,,4812559.0,ns,133427
tokio-RwLock,,try_lock-02,,,6622286.0,ns,152488
tokio-RwLock,,try_lock-02,,,6439346.0,ns,171549
tokio-RwLock,,try_lock-02,,,7548686.0,ns,190610
tokio-RwLock,,try_lock-02,,,7856400.0,ns,209671
tokio-RwLock,,try_lock-02,,,9965389.0,ns,228732
tokio-RwLock,,try_lock-02,,,9789179.0,ns,247793
tokio-RwLock,,try_lock-02,,,10498427.0,ns,266854
tokio-RwLock,,try_lock-02,,,11496046.0,ns,285915
tokio-RwLock,,try_lock-02,,,11883250.0,ns,304976
tokio-RwLock,,try_lock-02,,,13344266.0,ns,324037
tokio-RwLock,,try_lock-02,,,13434255.0,ns,343098
tokio-RwLock,,try_lock-02,,,14262245.0,ns,362159
tokio-RwLock,,try_lock-02,,,14738559.0,ns,381220
tokio-RwLock,,try_lock-02,,,17114064.0,ns,400281
tokio-RwLock,,try_lock-02,,,17110092.0,ns,419342
tokio-RwLock,,try_lock-02,,,17607699.0,ns,438403
tokio-RwLock,,try_lock-02,,,18824080.0,ns,457464
tokio-RwLock,,try_lock-02,,,19504238.0,ns,476525
tokio-RwLock,,try_lock-02,,,19333625.0,ns,495586
tokio-RwLock,,try_lock-02,,,19210204.0,ns,514647
tokio-RwLock,,try_lock-02,,,20287685.0,ns,533708
tokio-RwLock,,try_lock-02,,,26196925.0,ns,552769
tokio-RwLock,,try_lock-02,,,27005164.0,ns,571830
tokio-RwLock,,try_lock-02,,,32893723.0,ns,590891
tokio-RwLock,,try_lock-02,,,28636499.0,ns,609952
tokio-RwLock,,try_lock-02,,,33366267.0,ns,629013
tokio-RwLock,,try_lock-02,,,33949283.0,ns,648074
tokio-RwLock,,try_lock-02,,,28703150.0,ns,667135
tokio-RwLock,,try_lock-02,,,39842614.0,ns,686196
tokio-RwLock,,try_lock-02,,,33081015.0,ns,705257
tokio-RwLock,,try_lock-02,,,34027414.0,ns,724318
tokio-RwLock,,try_lock-02,,,36232447.0,ns,743379
tokio-RwLock,,try_lock-02,,,33418718.0,ns,762440
tokio-RwLock,,try_lock-02,,,49378601.0,ns,781501
tokio-RwLock,,try_lock-02,,,45651281.0,ns,800562
tokio-RwLock,,try_lock-02,,,46742044.0,ns,819623
tokio-RwLock,,try_lock-02,,,37800263.0,ns,838684
tokio-RwLock,,try_lock-02,,,49857214.0,ns,857745
tokio-RwLock,,try_lock-02,,,52039217.0,ns,876806
tokio-RwLock,,try_lock-02,,,50100367.0,ns,895867
tokio-RwLock,,try_lock-02,,,43873094.0,ns,914928
tokio-RwLock,,try_lock-02,,,51582602.0,ns,933989
tokio-RwLock,,try_lock-02,,,46463701.0,ns,953050
tokio-RwLock,,try_lock-02,,,39765833.0,ns,972111
tokio-RwLock,,try_lock-02,,,39054444.0,ns,991172
tokio-RwLock,,try_lock-02,,,37081846.0,ns,1010233
tokio-RwLock,,try_lock-02,,,41211687.0,ns,1029294
tokio-RwLock,,try_lock-02,,,41098997.0,ns,1048355
tokio-RwLock,,try_lock-02,,,42499869.0,ns,1067416
tokio-RwLock,,try_lock-02,,,43780974.0,ns,1086477
tokio-RwLock,,try_lock-02,,,41813233.0,ns,1105538
tokio-RwLock,,try_lock-02,,,47115786.0,ns,1124599
tokio-RwLock,,try_lock-02,,,45008216.0,ns,1143660
tokio-RwLock,,try_lock-02,,,44672353.0,ns,1162721
tokio-RwLock,,try_lock-02,,,45926354.0,ns,1181782
tokio-RwLock,,try_lock-02,,,49718784.0,ns,1200843
tokio-RwLock,,try_lock-02,,,51463190.0,ns,1219904
tokio-RwLock,,try_lock-02,,,48939686.0,ns,1238965
tokio-RwLock,,try_lock-02,,,53559002.0,ns,1258026
tokio-RwLock,,try_lock-02,,,52179978.0,ns,1277087
tokio-RwLock,,try_lock-02,,,53365681.0,ns,1296148
tokio-RwLock,,try_lock-02,,,53813034.0,ns,1315209
tokio-RwLock,,try_lock-02,,,51586783.0,ns,1334270
tokio-RwLock,,try_lock-02,,,54903375.0,ns,1353331
tokio-RwLock,,try_lock-02,,,54577092.0,ns,1372392
tokio-RwLock,,try_lock-02,,,55444362.0,ns,1391453
tokio-RwLock,,try_lock-02,,,56152557.0,ns,1410514
tokio-RwLock,,try_lock-02,,,52728493.0,ns,1429575
tokio-RwLock,,try_lock-02,,,57157689.0,ns,1448636
tokio-RwLock,,try_lock-02,,,51374630.0,ns,1467697
tokio-RwLock,,try_lock-02,,,56442651.0,ns,1486758
tokio-RwLock,,try_lock-02,,,63232300.0,ns,1505819
tokio-RwLock,,try_lock-02,,,61969007.0,ns,1524880
tokio-RwLock,,try_lock-02,,,63000219.0,ns,1543941
tokio-RwLock,,try_lock-02,,,62883086.0,ns,1563002
tokio-RwLock,,try_lock-02,,,70976308.0,ns,1582063
tokio-RwLock,,try_lock-02,,,64106069.0,ns,1601124
tokio-RwLock,,try_lock-02,,,78970248.0,ns,1620185
tokio-RwLock,,try_lock-02,,,72549644.0,ns,1639246
tokio-RwLock,,try_lock-02,,,74930499.0,ns,1658307
tokio-RwLock,,try_lock-02,,,66827187.0,ns,1677368
tokio-RwLock,,try_lock-02,,,67470733.0,ns,1696429
tokio-RwLock,,try_lock-02,,,74104829.0,ns,1715490
tokio-RwLock,,try_lock-02,,,63190150.0,ns,1734551
tokio-RwLock,,try_lock-02,,,74152700.0,ns,1753612
tokio-RwLock,,try_lock-02,,,72229032.0,ns,1772673
tokio-RwLock,,try_lock-02,,,74345873.0,ns,1791734
tokio-RwLock,,try_lock-02,,,82704286.0,ns,1810795
tokio-RwLock,,try_lock-02,,,99316486.0,ns,1829856
tokio-RwLock,,try_lock-02,,,97429996.0,ns,1848917
tokio-RwLock,,try_lock-02,,,73494144.0,ns,1867978
tokio-RwLock,,try_lock-02,,,69240711.0,ns,1887039
tokio-RwLock,,try_lock-02,,,77595145.0,ns,1906100
