group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
tokio-RwLock,,try_lock-33,,,1342233.0,ns,237
tokio-RwLock,,try_lock-33,,,3692106.0,ns,474
tokio-RwLock,,try_lock-33,,,5664098.0,ns,711
tokio-RwLock,,try_lock-33,,,1328753.0,ns,948
tokio-RwLock,,try_lock-33,,,5669167.0,ns,1185
tokio-RwLock,,try_lock-33,,,8877830.0,ns,1422
tokio-RwLock,,try_lock-33,,,9381236.0,ns,1659
tokio-RwLock,,try_lock-33,,,11166502.0,ns,1896
tokio-RwLock,,try_lock-33,,,5660328.0,ns,2133
tokio-RwLock,,try_lock-33,,,3076841.0,ns,2370
tokio-RwLock,,try_lock-33,,,4066381.0,ns,2607
tokio-RwLock,,try_lock-33,,,7864799.0,ns,2844
tokio-RwLock,,try_lock-33,,,2351254.0,ns,3081
tokio-RwLock,,try_lock-33,,,13617108.0,ns,3318
tokio-RwLock,,try_lock-33,,,13636339.0,ns,3555
tokio-RwLock,,try_lock-33,,,3617826.0,ns,3792
tokio-RwLock,,try_lock-33,,,19963732.0,ns,4029
tokio-RwLock,,try_lock-33,,,23660519.0,ns,4266
tokio-RwLock,,try_lock-33,,,22834131.0,ns,4503
tokio-RwLock,,try_lock-33,,,15622109.0,ns,4740
tokio-RwLock,,try_lock-33,,,24731400.0,ns,4977
tokio-RwLock,,try_lock-33,,,23655339.0,ns,5214
tokio-RwLock,,try_lock-33,,,28763721.0,ns,5451
tokio-RwLock,,try_lock-33,,,16291975.0,ns,5688
tokio-RwLock,,try_lock-33,,,3104361.0,ns,5925
tokio-RwLock,,try_lock-33,,,30992384.0,ns,6162
tokio-RwLock,,try_lock-33,,,61019037.0,ns,6399
tokio-RwLock,,try_lock-33,,,62223990.0,ns,6636
tokio-RwLock,,try_lock-33,,,64918087.0,ns,6873
tokio-RwLock,,try_lock-33,,,61692514.0,ns,7110
tokio-RwLock,,try_lock-33,,,38834154.0,ns,7347
tokio-RwLock,,try_lock-33,,,70745645.0,ns,7584
tokio-RwLock,,try_lock-33,,,67514083.0,ns,7821
tokio-RwLock,,try_lock-33,,,75079551.0,ns,8058
tokio-RwLock,,try_lock-33,,,72067399.0,ns,8295
tokio-RwLock,,try_lock-33,,,75692855.0,ns,8532
tokio-RwLock,,try_lock-33,,,79983100.0,ns,8769
tokio-RwLock,,try_lock-33,,,83172371.0,ns,9006
tokio-RwLock,,try_lock-33,,,47195468.0,ns,9243
tokio-RwLock,,try_lock-33,,,3967459.0,ns,9480
tokio-RwLock,,try_lock-33,,,24779901.0,ns,9717
tokio-RwLock,,try_lock-33,,,39720831.0,ns,9954
tokio-RwLock,,try_lock-33,,,44040616.0,ns,10191
tokio-RwLock,,try_lock-33,,,53131988.0,ns,10428
tokio-RwLock,,try_lock-33,,,40342128.0,ns,10665
tokio-RwLock,,try_lock-33,,,46916996.0,ns,10902
tokio-RwLock,,try_lock-33,,,37139375.0,ns,11139
tokio-RwLock,,try_lock-33,,,43229808.0,ns,11376
tokio-RwLock,,try_lock-33,,,41366409.0,ns,11613
tokio-RwLock,,try_lock-33,,,14163402.0,ns,11850
tokio-RwLock,,try_lock-33,,,48326170.0,ns,12087
tokio-RwLock,,try_lock-33,,,42832603.0,ns,12324
tokio-RwLock,,try_lock-33,,,52124028.0,ns,12561
tokio-RwLock,,try_lock-33,,,53813064.0,ns,12798
tokio-RwLock,,try_lock-33,,,52270459.0,ns,13035
tokio-RwLock,,try_lock-33,,,63042068.0,ns,13272
tokio-RwLock,,try_lock-33,,,44465510.0,ns,13509
